"Country","Adults (thousands)","mean wealth per adult (USD)","median wealth per adult (USD)","% Adults with less than $10.000","% Adults between $10.000 - 100.000","% Adults between $100.000 - 1.000.000","% Adults over $1.000.000","Gini Index (%)","POPOLAZIONE","Adults with less than $10.000","Adults between $10.000 - 100.000","Adults between $100.000 - 1.000.000","Adults over $1.000.000"
"Afghanistan","18,356","1,744","734","97.6","2.4","0.1","0","72.8","18356000","17915456","440544","18356","0"
"Albania","2,187","30,524","15,363","41","54.2","4.7","0.1","68.2","2187000","896670","1185354","102789","2187"
"Algeria","27,620","8,871","2,302","87","11.7","1.2","0.1","84.8","27620000","24029400","3231540","331440","27620"
"Angola","14,339","3,529","1,131","93.5","6.2","0.2","0","80.6","14339000","13406965","889018","28678","0"
"Argentina","30,799","7,224","2,157","88.2","11.2","0.6","0","81.2","30799000","27164718","3449488","184794","0"
"Armenia","2,176","22,573","9,411","52.3","44","3.5","0.1","73","2176000","1138048","957440","76160","2176"
"Australia","19,159","483,755","238,072","9.8","20.7","60","9.4","65.6","19159000","1877582","3965913","11495400","1800946"
"Austria","7,271","290,348","91,833","14.2","36.9","44.1","4.8","73.5","7271000","1032482","2682999","3206511","349008"
"Azerbaijan","7,155","11,926","5,022","73.5","25.2","1.3","0","72.7","7155000","5258925","1803060","93015","0"
"Bahamas","278","56,737","7,507","54","39.7","5.7","0.6","91.4","278000","150120","110366","15846","1668"
"Bahrain","1,318","87,559","14,520","45","48","6.1","0.9","88.9","1318000","593100","632640","80398","11862"
"Bangladesh","106,060","7,837","3,062","84.6","14.6","0.7","0","75.2","106060000","89726760","15484760","742420","0"
"Barbados","221","63,261","21,071","41","46","12.4","0.6","80.4","221000","90610","101660","27404","1326"
"Belarus","7,367","23,278","12,168","45.9","51.3","2.8","0.1","66.7","7367000","3381453","3779271","206276","7367"
"Belgium","8,993","351,327","230,548","11.9","20.1","62.3","5.7","60.3","8993000","1070167","1807593","5602639","512601"
"Belize","245","10,364","3,015","82","16.6","1.4","0","83.4","245000","200900","40670","3430","0"
"Benin","5,839","2,558","890","95.6","4.3","0.1","0","78.2","5839000","5582084","251077","5839","0"
"Bolivia","7,088","12,286","3,804","78.1","20.5","1.3","0.1","81","7088000","5535728","1453040","92144","7088"
"Bosnia and Herzegovina","2,637","30,597","15,283","41","54.1","4.8","0.1","68.6","2637000","1081170","1426617","126576","2637"
